Country Name,"Country Code","Series Name","Series Code",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Grenada,"GRD","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-60420861.1111111","-42648183.7037037","-31489862.962963","-74688413.3333333","-99983428.4274074","-137380436.323333","-93216530.6804304","-152150927.585556","-163792213.634667","-196237398.862716"
Guam,"GUM","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Guatemala,"GTM","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-607978520","-1139573000","-1226235210","-1448858730","-1387742500","-1048092040","-965023370","-934016770","-777862290","-799439570"
Guinea,"GIN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-101350000","-955240000","-603550000","-1060000","77057390.403275","-48257258.4212994","-1597343631.60884","-576480000","-353090000","-43380000"
Guinea-Bissau,"GNB","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-27710200","-24165753.0800866","-6773782.93298798","-19637861.8424038","-26105379.5505369","-16230041.4122476","-13954800","-15357093.5089092","-20969077.8002037","-71268860.0498201"
Guyana,"GUY","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-198000000","-246800000","-277910000","-200558390","-237750048.55","-137700000","-136654036.352959","-327343651.21783","-1180405596.06866","-1684979887"
Haiti,"HTI","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-178000000","-119000000","-156000000","-161918586.25","-99000000","-105680000","-104900000","-374855000","-105000000","-75000000"
Honduras,"HND","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-970575785.250515","-1012297707.75884","-850958332.949935","-991605737.038752","-1314822448.5231","-951580322.068714","-900072751.512728","-1035017036.86881","-895189526.370976","-499422105.375237"
"Hong Kong SAR, China","HKG","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","15721643054.2373","-229107860.408298","13235718096.7307","6470876900.52123","11044480660.8315","-102532361408.386","-57706925767.8982","-23954948816.9666","-22024252706.9308","-20531402022.1782"
Hungary,"HUN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-3936697507.46568","-1961626797.91999","-2877531842.00942","-278231951.296789","-3819551081.1514","-2890619218.82159","-2983727246.89273","-2376170201.386","-3531634245.88504","-102378996.256103"
Iceland,"ISL","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-2748651912.9854","-1082906199.98412","-4229093310.64079","54508979.0990451","-745420864.754369","-695187948.262079","-743724078.173073","-163299305.994324","470995915.479473","702942464.560541"
India,"IND","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-11428785745.7844","-23890659988.138","-15442447342.912","-26388082470.2872","-22890162761.0214","-36495216490.7242","-39411278940.2538","-28875941053.3143","-30699661201.0258","-37469945322.0152"
Indonesia,"IDN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-11106333134.5373","-11528394761.9029","-13716225988.1946","-12170055178.7636","-14733198282.6051","-10704478316.6269","-16135916018.7026","-18502038860.6217","-12510610514.4976","-20531070565.6307"
"Iran, Islamic Rep.","IRN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Iraq,"IRQ","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-1271300000","-1716000000","-2910000000","2562400000","10417900000","7721900000","6560200000","5110200000","5073500000","3269800000"
