Country Name,"Country Code","Series Name","Series Code","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
Guinea,"GIN","GNI (current US$)","NY.GNP.MKTP.CD","6776357857.33359","6651747173.61272","7516065253.97344","7971453845.06713","8494333615.46428","8650959121.19199","8446956121.39844","10274041360.4077","11448030336.5252","12853809258.2131"
Guinea-Bissau,"GNB","GNI (current US$)","NY.GNP.MKTP.CD","846239040.546748","1106262187.94072","994656463.155973","1026052961.77604","1092300692.46571","1073811497.97949","1208741919.75236","1352932628.34994","1453500084.16652","1470018484.03597"
Guyana,"GUY","GNI (current US$)","NY.GNP.MKTP.CD","3445692953.04713","3682055317.52178","4087056241.4152","4196342417.65347","4154314709.38129","4304537269.24939","4478082234.86683","4736697060.04843","4759901432.09477","5127126464.26858"
Haiti,"HTI","GNI (current US$)","NY.GNP.MKTP.CD","11881597691.3688","13046551847.7244","13763469544.1361","14934000885.7909","15188360079.1506","14873787396.6938","14035590263.8597","15094067852.9533","16505312917.1418","14835495479.3161"
Honduras,"HND","GNI (current US$)","NY.GNP.MKTP.CD","15005830709.9737","16653035345.4354","17127813088.8386","17077458585.1279","18041941023.0595","19413622600.0365","20056969382.8238","21570189834.6668","22019113502.4499","23014068153.9693"
"Hong Kong SAR, China","HKG","GNI (current US$)","NY.GNP.MKTP.CD","233476805848.736","255300102774.923","266426950647.207","280921093347.086","297469983621.568","315108232926.546","328901356556.691","356071446902.428","378890604069.656","381357214870.021"
Hungary,"HUN","GNI (current US$)","NY.GNP.MKTP.CD","126010007493.999","135126268931.387","123403690883.85","131785909385.547","134713617701.22","119218687406.585","125167397610.619","137346045184.016","154297812208.947","159224299869.263"
Iceland,"ISL","GNI (current US$)","NY.GNP.MKTP.CD","11120562233.1499","12847566765.7123","12884269289.7672","15287504221.781","16897076236.1288","16543802057.7224","19826589745.4317","23965940755.6076","24925636305.7046","24634234577.5015"
India,"IND","GNI (current US$)","NY.GNP.MKTP.CD","1657660320258.9","1807018710050.81","1806177662220.11","1833601556952.76","2015015376660.84","2079182325742.91","2247940124045.8","2622799774505.9","2672176417222.4","2843265469943.72"
Indonesia,"IDN","GNI (current US$)","NY.GNP.MKTP.CD","734988313962.735","868239121887.855","891961466510.843","885249528973.057","860946502042.825","832298855624.85","902045436049.031","983437954653.327","1011212624835.41","1085070037984.51"
"Iran, Islamic Rep.","IRN","GNI (current US$)","NY.GNP.MKTP.CD","486886672784.685","580809428095.791","603077505539.785","463436203434.421","433978050539.771","385924919121.268","419264513277.768","446174038804.276","295974447930.014","258443785777.363"
Iraq,"IRQ","GNI (current US$)","NY.GNP.MKTP.CD","140109922649.573","185512664444.444","219061488972.299","233577245128.645","227112056174.957","165257902945.457","165041288747.885","185776960050.676","225613469034.031","233931182233.503"
Ireland,"IRL","GNI (current US$)","NY.GNP.MKTP.CD","185645132293.908","193720824725.797","181882352293.565","200925327138.463","218340468264.203","224032083740.732","243320095866.981","265659342021.673","298071385011.19","309765793964.368"
Isle of Man,"IMN","GNI (current US$)","NY.GNP.MKTP.CD","5981738257.10754","6692278481.01266","6818331753.5545","7201580428.32578","7655555372.7168","6826965622.61268","6105729138.53632","6365148005.148","7111914609.73983","6968404391.11565"
Israel,"ISR","GNI (current US$)","NY.GNP.MKTP.CD","230313642107.797","258769884137.621","251793098761.82","288218988624.274","309066889887.295","297503926418.25","316135997205.273","353488338209.313","373366681340.338","395685778183.469"
Italy,"ITA","GNI (current US$)","NY.GNP.MKTP.CD","2129496390595.89","2286194049113.81","2084525810124.71","2137604292430.28","2159322448608.36","1823207188012.21","1881183205630.24","1967862153401.24","2114003790746.69","2026751394852.55"
Jamaica,"JAM","GNI (current US$)","NY.GNP.MKTP.CD","12725939352.7922","13926255522.2456","14607474287.266","13930633621.8188","13600815210.7775","13748957625.8145","13482121259.0431","14387841219.2444","15134770593.1878","15389268903.5729"
Japan,"JPN","GNI (current US$)","NY.GNP.MKTP.CD","5847341432190.46","6331880341636.09","6369372092738.79","5328796476996.15","5024973338035.64","4558091131571.47","5088186818824.57","5040348134891.63","5135478831382.8","5252425968544.02"
