Country Name,"Country Code","Series Name","Series Code",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gabon,"GAB","GDP (current US$)","NY.GDP.MKTP.CD","14372591916.4792","18210308748.2912","17170465294.0332","17595745653.3676","18203968001.8908","14383107714.0388","14023890620.3384","14929488770.7315","16867325126.5423","16874405839.7948"
"Gambia, The","GMB","GDP (current US$)","NY.GDP.MKTP.CD","1543292392.54605","1409694553.90934","1415006238.09509","1375608956.10386","1229460601.92174","1378176868.31568","1484579844.37143","1504909753.28746","1670670668.5939","1812529104.61923"
Georgia,"GEO","GDP (current US$)","NY.GDP.MKTP.CD","12243505582.6741","15107441446.7833","16488403076.3641","17189551520.9811","17627003454.7205","14953950557.4406","15141758566.7808","16242916915.7203","17599700090.762","17477255562.2583"
Germany,"DEU","GDP (current US$)","NY.GDP.MKTP.CD","3396354075663.73","3744408602683.94","3527344944139.83","3732743446218.92","3883920155292.26","3356235704119.75","3467498002104.33","3681732583768.5","3975347237442.99","3888326788627.44"
Ghana,"GHA","GDP (current US$)","NY.GDP.MKTP.CD","32197272797.2028","39337314809.9434","41270954737.2459","62823043706.4702","54782847752.5375","49406568432.6711","56165172898.8695","60406382898.5174","67299280679.563","68337537815.7703"
Gibraltar,"GIB","GDP (current US$)","NY.GDP.MKTP.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Greece,"GRC","GDP (current US$)","NY.GDP.MKTP.CD","296835346570.223","282625610892.477","242043151399.458","238839788899.338","235144949470.797","195604846736.019","193017030649.7","199350781053.185","211945897765.431","205144152830.847"
Greenland,"GRL","GDP (current US$)","NY.GDP.MKTP.CD","2503156060.52524","2684467375.71479","2609667673.71601","2684952726.88425","2842048997.77283","2499115623.00272","2707146783.13056","2851610655.92391","3040414278.02236","2982247278.61577"
Grenada,"GRD","GDP (current US$)","NY.GDP.MKTP.CD","771013259.259259","778655925.925926","799882259.259259","842620111.111111","911497407.407407","997007925.925926","1061640740.74074","1125685185.18519","1166523555.55556","1212694407.40741"
Guam,"GUM","GDP (current US$)","NY.GDP.MKTP.CD","4949000000","4984000000","5265000000","5399000000","5610000000","5799000000","5901000000","6013000000","6060000000","6364000000"
Guatemala,"GTM","GDP (current US$)","NY.GDP.MKTP.CD","40676432028.5934","46876114650.4996","49593961141.7484","52996540703.5943","57852399963.7878","62186186575.7433","66053725049.0138","71654134378.5299","73208583758.9105","77020015201.3201"
Guinea,"GIN","GDP (current US$)","NY.GDP.MKTP.CD","6853467857.61127","6785137172.77058","7638045254.42864","8376613843.27265","8778473614.54728","8794202443.67366","8595955581.21787","10324668266.5921","11857030336.5252","13513809258.2131"
Guinea-Bissau,"GNB","GDP (current US$)","NY.GDP.MKTP.CD","849878424.225986","1099818651.98114","989271229.637162","1046087417.96916","1054915645.19654","1048229629.42039","1179004941.22904","1350177127.5523","1504630120.99275","1439638443.38133"
Guyana,"GUY","GDP (current US$)","NY.GDP.MKTP.CD","3432913073.24154","3691384317.52178","4063089191.87525","4167800259.20888","4127659492.02031","4279840193.7046","4482697336.56174","4748174334.14044","4787636237.24043","5173760191.84652"
Haiti,"HTI","GDP (current US$)","NY.GDP.MKTP.CD","11859315078.7902","13008754110.8113","13708926466.2732","14902474090.615","15139264670.4225","14833154471.7456","13987693738.923","15035560372.6443","16455034352.7671","14785839382.9002"
Honduras,"HND","GDP (current US$)","NY.GDP.MKTP.CD","15729649158.5883","17588098574.7369","18400538859.3598","18372173380.7373","19618567249.5003","20833948799.5352","21566622849.6057","22975415842.4648","23900438563.7271","24915522849.1544"
"Hong Kong SAR, China","HKG","GDP (current US$)","NY.GDP.MKTP.CD","228637697575.04","248513617677.287","262629441493.476","275696879834.966","291459356985.337","309383627028.561","320837638328.846","341244161576.759","361691522612.745","363016373358.517"
Hungary,"HUN","GDP (current US$)","NY.GDP.MKTP.CD","132231134158.608","141999960209.893","128857370476.631","135732595721.853","141078984816.675","125210324613.14","128636108315.474","143136245596.988","160586833778.457","163526491433.29"
Iceland,"ISL","GDP (current US$)","NY.GDP.MKTP.CD","13751161917.7398","15221622925.9319","14751508133.5443","16125060515.3117","17867662177.8911","17517210519.0912","20793168030.9524","24728285177.4603","26267063757.5495","24857740445.0401"
India,"IND","GDP (current US$)","NY.GDP.MKTP.CD","1675615335600.56","1823049927771.46","1827637859135.7","1856722121394.53","2039127446298.55","2103587813812.75","2294797980509.01","2651472946374.91","2701111782775.03","2870504096717.77"
Indonesia,"IDN","GDP (current US$)","NY.GDP.MKTP.CD","755094160363.071","892969107923.094","917869910105.749","912524136718.018","890814755233.225","860854235065.079","931877364177.742","1015618742565.81","1042271531011.99","1119091259074.62"
"Iran, Islamic Rep.","IRN","GDP (current US$)","NY.GDP.MKTP.CD","486807615326.147","580764902917.439","598868460912.847","460293149324.326","432687036177.818","384951479697.42","417983583565.54","445345256459.105","294356680624.658","258245497664.394"
Iraq,"IRQ","GDP (current US$)","NY.GDP.MKTP.CD","138516722649.573","185749664444.444","218002481737.691","234637675128.645","228415656174.957","166774109673.732","166602488747.885","187217660050.676","227367469034.031","235097182233.503"
Ireland,"IRL","GDP (current US$)","NY.GDP.MKTP.CD","221659742984.75","238662833333.918","225509709550.982","238211547205.677","258625192663.58","291462799328.949","298725229419.215","334602299873.029","384853685231.018","399122063504.148"
Isle of Man,"IMN","GDP (current US$)","NY.GDP.MKTP.CD","5920177688.50433","6566098381.6696","6690725118.48341","7000748788.49461","7708834951.45631","7085288006.11154","6846691871.45558","6979581724.58172","7491969312.87525","7315388052.08067"
Israel,"ISR","GDP (current US$)","NY.GDP.MKTP.CD","234654589559.973","262293871093.061","258417104163.53","294167366504.266","310944937638.436","300078278118.434","319024417316.889","355277223507.485","373641241440.789","397934596952.56"
Italy,"ITA","GDP (current US$)","NY.GDP.MKTP.CD","2134017843247.16","2291991045770.29","2087077032435.15","2141315327318.21","2159133919743.77","1835899237320.04","1875797463583.87","1956950469673.29","2090910879119.33","2009383867307.45"
Jamaica,"JAM","GDP (current US$)","NY.GDP.MKTP.CD","13220556882.7046","14444655299.8772","14807086889.2099","14264202737.3082","13899228824.2161","14188935947.5694","14077109396.8584","14808989993.3185","15730793852.7913","15830768549.8916"
Japan,"JPN","GDP (current US$)","NY.GDP.MKTP.CD","5759071769013.11","6233147172341.35","6272362996105.03","5212328181166.18","4896994405353.29","4444930651964.18","5003677627544.24","4930837369151.42","5036891740656.35","5148781948478.17"
Jordan,"JOR","GDP (current US$)","NY.GDP.MKTP.CD","27133804225.3521","29524149154.9296","31634561690.1408","34454440140.8451","36847643521.1268","38587017887.3239","39892551126.7606","41408960845.0704","42932112676.0563","44502895915.493"
Kazakhstan,"KAZ","GDP (current US$)","NY.GDP.MKTP.CD","148047348240.643","192626507971.584","207998568865.789","236634552078.102","221415572819.5","184388432148.715","137278320084.171","166805800595.704","179339994859.384","181667190075.541"
Kenya,"KEN","GDP (current US$)","NY.GDP.MKTP.CD","45405587556.7313","46869457318.2541","56396706005.9435","61671425370.0235","68285768554.472","70120413328.7838","74815121314.9381","82035800868.187","92202956320.532","100555485831.944"
Kiribati,"KIR","GDP (current US$)","NY.GDP.MKTP.CD","156120439.254831","181705153.610056","190243432.813514","185114059.61905","179703165.412383","171117816.66613","178328984.096884","187276124.790591","200157020.642498","188391770.636764"
"Korea, Dem. People's Rep.","PRK","GDP (current US$)","NY.GDP.MKTP.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Korea, Rep.","KOR","GDP (current US$)","NY.GDP.MKTP.CD","1144066965324.49","1253223044718.99","1278427634342.59","1370795199976.18","1484318219633.63","1465773245547.15","1500111596236.37","1623901496835.79","1724845615629.26","1651422932447.77"
Kosovo,"XKX","GDP (current US$)","NY.GDP.MKTP.CD","5344014317.91065","6341737193.76392","6163785172.81254","6735731172.79851","7074657898.23303","6295820481.52668","6682832632.27806","7180813375.50836","7878508502.59802","7899879086.43081"
Kuwait,"KWT","GDP (current US$)","NY.GDP.MKTP.CD","115419399860.433","154068115942.029","174070382279.385","174161142454.161","162631412508.784","114567298105.683","109419728566.7","120707435542.367","138182400331.126","136196760210.804"
